bank_id,date,amount,description,company,reference,ledger_id
B00493,2026-07-09,3033.99,PAYMENT NIGHTSHADE SECURITY REF INV-50508,Nightshade Security,INV-50508,BANK-0204
B00406,2026-06-10,28747.18,PAYMENT HARBOR STATE INSURANCE REF INV-88246,Harbor State Insurance,INV-88246,BANK-0205
B00757,2026-05-23,325.87,PAYMENT JUNCTION ANALYTICS REF INV-96362,Junction Analytics,INV-96362,BANK-0206
B00278,2026-06-04,281.74,PAYMENT YELLOWBRICK MEDIA REF INV-68929,Yellowbrick Media,INV-68929,BANK-0207
B00596,2026-07-17,235.55,PAYMENT COBALT FREIGHT LINES REF INV-91142,Cobalt Freight Lines,INV-91142,BANK-0208
B00856,2026-05-21,23594.85,WIRE RECEIVED TRAILMARK EQUIPMENT RENTAL REF INV-73225,Trailmark Equipment Rental,INV-73225,BANK-0209
B00008,2026-05-11,813.0,PAYMENT NIGHTSHADE SECURITY REF INV-40512,Nightshade Security,INV-40512,BANK-0210
B00279,2026-06-23,47542.32,PAYMENT PINEHILL DISTRIBUTORS REF INV-42541,Pinehill Distributors,INV-42541,BANK-0211
B01068,2026-07-04,358.42,MISC CREDIT MARROW FITNESS STUDIOS,Marrow Fitness Studios,,BANK-0212
B00163,2026-06-17,31305.2,PAYMENT YELLOWBRICK MEDIA REF INV-24201,Yellowbrick Media,INV-24201,BANK-0213
B00713,2026-06-24,14473.96,PAYMENT VANTERRA CHEMICALS REF INV-62506,Vanterra Chemicals,INV-62506,BANK-0214
B00636,2026-05-30,30113.79,PAYMENT EVERLINE MANUFACTURING REF INV-43901,Everline Manufacturing,INV-43901,BANK-0215
B00820,2026-07-10,244.1,WIRE RECEIVED HOLLOW CREEK FARMS REF INV-46452,Hollow Creek Farms,INV-46452,BANK-0216
B00080,2026-07-30,86.26,PAYMENT LAKESIDE PROPERTY MGMT REF INV-38043,Lakeside Property Mgmt,INV-38043,BANK-0217
B00142,2026-06-22,94.87,PAYMENT FOXGLOVE DESIGN CO REF INV-95823,Foxglove Design Co,INV-95823,BANK-0218
B00603,2026-07-26,23651.17,PAYMENT MERIDIAN SOFTWARE INC REF INV-87176,Meridian Software Inc,INV-87176,BANK-0219
B00344,2026-06-01,2374.29,PAYMENT MARROW FITNESS STUDIOS REF INV-43422,Marrow Fitness Studios,INV-43422,BANK-0220
B00814,2026-05-16,136.83,WIRE RECEIVED FENWICK OFFICE SOLUTIONS REF INV-21952,Fenwick Office Solutions,INV-21952,BANK-0221
B00637,2026-06-19,224.61,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-98250,Driftwood Café Group,INV-98250,BANK-0222
B00763,2026-05-16,14715.5,PAYMENT EVERLINE MANUFACTURING REF INV-40279,Everline Manufacturing,INV-40279,BANK-0223
B00559,2026-05-18,288.43,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-36253,Zenith Industrial Supply,INV-36253,BANK-0224
B00357,2026-05-18,3506.97,PAYMENT EVERLINE MANUFACTURING REF INV-92667,Everline Manufacturing,INV-92667,BANK-0225
B00791,2026-06-18,44018.71,WIRE RECEIVED YELLOWBRICK MEDIA REF INV-76655,Yellowbrick Media,INV-76655,BANK-0226
B00586,2026-06-26,41101.92,PAYMENT GRANITE POINT CONSULTING REF INV-33758,Granite Point Consulting,INV-33758,BANK-0227
B00825,2026-05-09,4509.05,WIRE RECEIVED TRAILMARK EQUIPMENT RENTAL REF INV-48382,Trailmark Equipment Rental,INV-48382,BANK-0228
B00283,2026-05-02,26176.41,PAYMENT PRAIRIE WIND ENERGY REF INV-24089,Prairie Wind Energy,INV-24089,BANK-0229
B00100,2026-06-13,2591.19,PAYMENT FOXGLOVE DESIGN CO REF INV-13761,Foxglove Design Co,INV-13761,BANK-0230
B00743,2026-06-04,223.16,PAYMENT PINEHILL DISTRIBUTORS REF INV-22315,Pinehill Distributors,INV-22315,BANK-0231
B00430,2026-06-28,7067.43,PAYMENT VANTERRA CHEMICALS REF INV-12134,Vanterra Chemicals,INV-12134,BANK-0232
B01039,2026-07-14,21313.52,PAYMENT TRAILMARK EQUIPMENT RENTAL REF I,,,BANK-0233
B00954,2026-05-12,53.14,PARTIAL PMT LAKESIDE PROPERTY MGMT REF INV-40841,Lakeside Property Mgmt,INV-40841,BANK-0234
B00706,2026-06-08,380.94,PAYMENT PINEHILL DISTRIBUTORS REF INV-30446,Pinehill Distributors,INV-30446,BANK-0235
B00226,2026-06-16,1244.93,PAYMENT REDSTONE CONTRACTING REF INV-98652,Redstone Contracting,INV-98652,BANK-0236
B00315,2026-05-13,8903.2,PAYMENT COBALT FREIGHT LINES REF INV-34219,Cobalt Freight Lines,INV-34219,BANK-0237
B00199,2026-06-07,4753.96,PAYMENT AURORA TEXTILES LTD REF INV-53007,Aurora Textiles Ltd,INV-53007,BANK-0238
B00664,2026-07-06,219.5,PAYMENT LUMEN ENERGY SERVICES REF INV-42975,Lumen Energy Services,INV-42975,BANK-0239
B00588,2026-07-23,2350.78,PAYMENT IVY & OAK PRINT SHOP REF INV-51187,Ivy & Oak Print Shop,INV-51187,BANK-0240
B00695,2026-06-05,211.88,PAYMENT CEDAR & VINE SUPPLY CO REF INV-62354,Cedar & Vine Supply Co,INV-62354,BANK-0241
B00208,2026-07-14,27235.27,PAYMENT EVERLINE MANUFACTURING REF INV-68838,Everline Manufacturing,INV-68838,BANK-0242
B00985,2026-07-13,47574.3,PAYMENT SOLACE HEALTH SYSTEMS REF INV-37151,Solace Health Systems,INV-37151,BANK-0243
B01045,2026-07-15,40687.48,PAYM EMBE FOOD REF INV-,,,BANK-0244
B00179,2026-06-21,3395.03,PAYMENT KINGFISHER CABLE CO REF INV-65872,Kingfisher Cable Co,INV-65872,BANK-0245
B00903,2026-06-05,2003.04,PARTIAL PMT QUORUM LEGAL ADVISORS REF INV-65965,Quorum Legal Advisors,INV-65965,BANK-0246
B00624,2026-07-02,3314.15,PAYMENT DELTA FREIGHT PARTNERS REF INV-85061,Delta Freight Partners,INV-85061,BANK-0247
B00589,2026-07-12,39538.79,PAYMENT AURORA TEXTILES LTD REF INV-39358,Aurora Textiles Ltd,INV-39358,BANK-0248
B00806,2026-07-02,766.99,WIRE RECEIVED MERIDIAN SOFTWARE INC REF INV-52584,Meridian Software Inc,INV-52584,BANK-0249
B00160,2026-06-13,4211.1,PAYMENT KESTREL MARKETING GROUP REF INV-25095,Kestrel Marketing Group,INV-25095,BANK-0250
B00968,2026-06-24,17562.69,PAYMENT NORTHFIELD PACKAGING REF INV-42329 (DUP),Northfield Packaging,INV-42329,BANK-0251
B00707,2026-07-20,853.19,PAYMENT GRANITE POINT CONSULTING REF INV-80972,Granite Point Consulting,INV-80972,BANK-0252
B00330,2026-06-18,2221.16,PAYMENT YELLOWBRICK MEDIA REF INV-20518,Yellowbrick Media,INV-20518,BANK-0253
B00937,2026-06-17,8667.65,PARTIAL PMT EVERLINE MANUFACTURING REF INV-82536,Everline Manufacturing,INV-82536,BANK-0254
B00349,2026-06-18,1576.99,PAYMENT NORTHFIELD PACKAGING REF INV-71112,Northfield Packaging,INV-71112,BANK-0255
B00207,2026-05-20,13877.23,PAYMENT JUNCTION ANALYTICS REF INV-95918,Junction Analytics,INV-95918,BANK-0256
B00997,2026-06-30,217.77,PAYMENT EVERLINE MANUFACTURING REF INV-79717,Everline Manufacturing,INV-79717,BANK-0257
B00144,2026-06-10,4335.54,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-92155,Fenwick Office Solutions,INV-92155,BANK-0258
B00741,2026-05-14,258.66,PAYMENT YELLOWBRICK MEDIA REF INV-61435,Yellowbrick Media,INV-61435,BANK-0259
B00412,2026-06-19,439.49,PAYMENT DELTA FREIGHT PARTNERS REF INV-83607,Delta Freight Partners,INV-83607,BANK-0260
B00161,2026-07-26,48492.51,PAYMENT GLACIER POINT BANK REF INV-62089,Glacier Point Bank,INV-62089,BANK-0261
B00606,2026-06-19,361.32,PAYMENT LUMEN ENERGY SERVICES REF INV-96182,Lumen Energy Services,INV-96182,BANK-0262
B00826,2026-05-27,17333.18,WIRE RECEIVED HOLLOW CREEK FARMS REF INV-37400,Hollow Creek Farms,INV-37400,BANK-0263
B00215,2026-06-01,492.07,PAYMENT VANTERRA CHEMICALS REF INV-67377,Vanterra Chemicals,INV-67377,BANK-0264
B00692,2026-07-21,178.91,PAYMENT KINGFISHER CABLE CO REF INV-74797,Kingfisher Cable Co,INV-74797,BANK-0265
B00658,2026-07-18,90.75,PAYMENT JASPER METALS CORP REF INV-99674,Jasper Metals Corp,INV-99674,BANK-0266
B00293,2026-07-13,34501.59,PAYMENT BLUEPEAK LOGISTICS REF INV-39824,Bluepeak Logistics,INV-39824,BANK-0267
B00715,2026-05-29,13822.84,PAYMENT PINEHILL DISTRIBUTORS REF INV-11276,Pinehill Distributors,INV-11276,BANK-0268
B00202,2026-07-13,850.38,PAYMENT BLUEPEAK LOGISTICS REF INV-63008,Bluepeak Logistics,INV-63008,BANK-0269
B00948,2026-07-10,1767.01,PARTIAL PMT MERIDIAN SOFTWARE INC REF INV-76524,Meridian Software Inc,INV-76524,BANK-0270
B00223,2026-05-20,203.78,PAYMENT NORTHFIELD PACKAGING REF INV-20114,Northfield Packaging,INV-20114,BANK-0271
B00904,2026-06-07,1469.11,PARTIAL PMT QUORUM LEGAL ADVISORS REF INV-65965,Quorum Legal Advisors,INV-65965,BANK-0272
B00206,2026-06-14,2887.72,PAYMENT JASPER METALS CORP REF INV-94599,Jasper Metals Corp,INV-94599,BANK-0273
B00681,2026-06-06,241.47,PAYMENT GRANITE POINT CONSULTING REF INV-88419,Granite Point Consulting,INV-88419,BANK-0274
B00524,2026-05-19,14086.37,PAYMENT EMBERLINE FOODS REF INV-87994,Emberline Foods,INV-87994,BANK-0275
B00299,2026-06-08,16093.36,PAYMENT QUORUM LEGAL ADVISORS REF INV-39473,Quorum Legal Advisors,INV-39473,BANK-0276
B01013,2026-07-01,454.23,PAYMENT IRONWOOD MATERIALS REF INV-58745,Ironwood Materials,INV-58745,BANK-0277
B00880,2026-05-20,404.01,WIRE RECEIVED RIVERBEND HARDWARE REF INV-96396,Riverbend Hardware,INV-96396,BANK-0278
B00532,2026-06-09,591.05,PAYMENT RIVERBEND HARDWARE REF INV-46745,Riverbend Hardware,INV-46745,BANK-0279
B00506,2026-07-03,2388.44,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-59638,Zenith Industrial Supply,INV-59638,BANK-0280
B00818,2026-05-02,14101.07,WIRE RECEIVED LUMEN ENERGY SERVICES REF INV-70115,Lumen Energy Services,INV-70115,BANK-0281
B00016,2026-05-15,498.8,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-30033,Oakstone Realty Holdings,INV-30033,BANK-0282
B00501,2026-05-05,22622.06,PAYMENT AURORA TEXTILES LTD REF INV-33865,Aurora Textiles Ltd,INV-33865,BANK-0283
B00265,2026-07-07,2291.72,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-63843,Fenwick Office Solutions,INV-63843,BANK-0284
B00960,2026-06-16,23149.94,PARTIAL PMT LUMEN ENERGY SERVICES REF INV-45349,Lumen Energy Services,INV-45349,BANK-0285
B00210,2026-07-15,2489.94,PAYMENT FOXGLOVE DESIGN CO REF INV-17362,Foxglove Design Co,INV-17362,BANK-0286
B00877,2026-07-12,3601.74,WIRE RECEIVED SOLACE HEALTH SYSTEMS REF INV-44136,Solace Health Systems,INV-44136,BANK-0287
B00220,2026-06-18,8812.36,PAYMENT COBALT FREIGHT LINES REF INV-94343,Cobalt Freight Lines,INV-94343,BANK-0288
B00376,2026-06-19,33525.54,PAYMENT RIVERBEND HARDWARE REF INV-51507,Riverbend Hardware,INV-51507,BANK-0289
B00352,2026-07-14,5729.9,PAYMENT NIGHTSHADE SECURITY REF INV-85909,Nightshade Security,INV-85909,BANK-0290
B00970,2026-05-20,45132.02,PAYMENT PINEHILL DISTRIBUTORS REF INV-85196 (DUP),Pinehill Distributors,INV-85196,BANK-0291
B00542,2026-05-29,72.34,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-94853,Zenith Industrial Supply,INV-94853,BANK-0292
B01028,2026-06-09,2177.74,PAYMETN EMBERLINE FOODS REF INV-68402,,,BANK-0293
B00546,2026-07-26,2565.49,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-78241,Zenith Industrial Supply,INV-78241,BANK-0294
B00634,2026-06-25,42293.69,PAYMENT EMBERLINE FOODS REF INV-94746,Emberline Foods,INV-94746,BANK-0295
B00307,2026-06-30,12107.35,PAYMENT AURORA TEXTILES LTD REF INV-72580,Aurora Textiles Ltd,INV-72580,BANK-0296
B00678,2026-05-01,45589.31,PAYMENT HARBOR STATE INSURANCE REF INV-98940,Harbor State Insurance,INV-98940,BANK-0297
B00382,2026-05-10,2456.04,PAYMENT JUNCTION ANALYTICS REF INV-57333,Junction Analytics,INV-57333,BANK-0298
B00044,2026-06-28,2281.04,PAYMENT UMBRA DIGITAL STUDIO REF INV-51441,Umbra Digital Studio,INV-51441,BANK-0299
B00796,2026-07-26,11162.12,WIRE RECEIVED JUNCTION ANALYTICS REF INV-90274,Junction Analytics,INV-90274,BANK-0300
B00259,2026-05-16,28298.54,PAYMENT HARBOR STATE INSURANCE REF INV-44311,Harbor State Insurance,INV-44311,BANK-0301
B00147,2026-05-08,1847.6,PAYMENT FOXGLOVE DESIGN CO REF INV-48452,Foxglove Design Co,INV-48452,BANK-0302
B00346,2026-05-10,73.19,PAYMENT MERIDIAN SOFTWARE INC REF INV-34662,Meridian Software Inc,INV-34662,BANK-0303
B00797,2026-06-12,3046.02,WIRE RECEIVED OAKSTONE REALTY HOLDINGS REF INV-68873,Oakstone Realty Holdings,INV-68873,BANK-0304
B00126,2026-05-12,3133.98,PAYMENT RIVERBEND HARDWARE REF INV-71605,Riverbend Hardware,INV-71605,BANK-0305
B00911,2026-05-03,1104.17,PARTIAL PMT CEDAR & VINE SUPPLY CO REF INV-75234,Cedar & Vine Supply Co,INV-75234,BANK-0306
B00373,2026-06-27,3981.0,PAYMENT PRAIRIE WIND ENERGY REF INV-74304,Prairie Wind Energy,INV-74304,BANK-0307
B00878,2026-07-19,30744.02,WIRE RECEIVED DELTA FREIGHT PARTNERS REF INV-13578,Delta Freight Partners,INV-13578,BANK-0308
B00553,2026-06-15,26408.08,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-76494,Oakstone Realty Holdings,INV-76494,BANK-0309
B00063,2026-05-25,10204.06,PAYMENT UMBRA DIGITAL STUDIO REF INV-43386,Umbra Digital Studio,INV-43386,BANK-0310
B00071,2026-05-31,177.7,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-98184,Fenwick Office Solutions,INV-98184,BANK-0311
B01066,2026-07-30,3005.0,INTEREST PAYMENT,Cedar & Vine Supply Co,,BANK-0312
B00551,2026-06-03,3745.77,PAYMENT UMBRA DIGITAL STUDIO REF INV-64862,Umbra Digital Studio,INV-64862,BANK-0313
B00485,2026-06-19,2978.1,PAYMENT IVY & OAK PRINT SHOP REF INV-27987,Ivy & Oak Print Shop,INV-27987,BANK-0314
B00852,2026-06-16,11456.96,WIRE RECEIVED GLACIER POINT BANK REF INV-61390,Glacier Point Bank,INV-61390,BANK-0315
B00962,2026-06-28,768.43,PAYMENT CEDAR & VINE SUPPLY CO REF INV-64817 (DUP),Cedar & Vine Supply Co,INV-64817,BANK-0316
B00327,2026-05-10,38561.2,PAYMENT BLUEPEAK LOGISTICS REF INV-15936,Bluepeak Logistics,INV-15936,BANK-0317
B00227,2026-05-30,3247.68,PAYMENT PINEHILL DISTRIBUTORS REF INV-79993,Pinehill Distributors,INV-79993,BANK-0318
B00957,2026-05-07,534.45,PARTIAL PMT MERIDIAN SOFTWARE INC REF INV-67129,Meridian Software Inc,INV-67129,BANK-0319
B00822,2026-05-12,31002.32,WIRE RECEIVED CEDAR & VINE SUPPLY CO REF INV-16426,Cedar & Vine Supply Co,INV-16426,BANK-0320
B00186,2026-05-08,41529.62,PAYMENT EMBERLINE FOODS REF INV-86869,Emberline Foods,INV-86869,BANK-0321
B00106,2026-05-25,366.28,PAYMENT WESTGATE FACILITIES MGMT REF INV-51359,Westgate Facilities Mgmt,INV-51359,BANK-0322
B00777,2026-05-27,19369.24,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-75850,Zenith Industrial Supply,INV-75850,BANK-0323
B00916,2026-07-12,172.04,PARTIAL PMT HOLLOW CREEK FARMS REF INV-39602,Hollow Creek Farms,INV-39602,BANK-0324
B01023,2026-06-07,1990.76,PAYMENT LKAESIDE PROPERTY MGMT REF INV-85199,,INV-85199,BANK-0325
B01030,2026-06-12,49477.21,PAYMENT FENWICK OFFICE SLOUTIONS REF INV-18665,,,BANK-0326
B01032,2026-07-14,2707.64,PAYM ZENI INDU SUPP REF INV-,,INV-49834,BANK-0327
B00626,2026-05-12,1217.17,PAYMENT EVERLINE MANUFACTURING REF INV-55796,Everline Manufacturing,INV-55796,BANK-0328
B00541,2026-06-06,426.94,PAYMENT KESTREL MARKETING GROUP REF INV-13597,Kestrel Marketing Group,INV-13597,BANK-0329
B00654,2026-05-03,168.46,PAYMENT MERIDIAN SOFTWARE INC REF INV-76476,Meridian Software Inc,INV-76476,BANK-0330
B00889,2026-06-27,1649.62,PARTIAL PMT HOLLOW CREEK FARMS REF INV-60070,Hollow Creek Farms,INV-60070,BANK-0331
B00907,2026-07-18,48.3,PARTIAL PMT QUORUM LEGAL ADVISORS REF INV-61463,Quorum Legal Advisors,INV-61463,BANK-0332
B00714,2026-06-02,49067.26,PAYMENT RIVERBEND HARDWARE REF INV-45382,Riverbend Hardware,INV-45382,BANK-0333
B01008,2026-05-03,249.74,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-40451 (DUP),Driftwood Café Group,INV-40451,BANK-0334
B00859,2026-06-21,2575.28,WIRE RECEIVED HARBOR STATE INSURANCE REF INV-19123,Harbor State Insurance,INV-19123,BANK-0335
B00897,2026-05-29,1147.65,PARTIAL PMT AURORA TEXTILES LTD REF INV-47132,Aurora Textiles Ltd,INV-47132,BANK-0336
B00026,2026-05-26,38986.93,PAYMENT EMBERLINE FOODS REF INV-50857,Emberline Foods,INV-50857,BANK-0337
B00776,2026-07-25,39667.55,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-93084,Driftwood Café Group,INV-93084,BANK-0338
B00520,2026-07-27,23838.44,PAYMENT DELTA FREIGHT PARTNERS REF INV-72236,Delta Freight Partners,INV-72236,BANK-0339
B00264,2026-05-17,21601.0,PAYMENT IVY & OAK PRINT SHOP REF INV-90209,Ivy & Oak Print Shop,INV-90209,BANK-0340
B00078,2026-07-06,3883.0,PAYMENT HOLLOW CREEK FARMS REF INV-73517,Hollow Creek Farms,INV-73517,BANK-0341
B00793,2026-07-02,16120.59,WIRE RECEIVED MARROW FITNESS STUDIOS REF INV-61563,Marrow Fitness Studios,INV-61563,BANK-0342
B00769,2026-07-05,4667.66,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-10025,Zenith Industrial Supply,INV-10025,BANK-0343
B00864,2026-05-08,23.52,WIRE RECEIVED ORCHARD GROVE BAKERY REF INV-58394,Orchard Grove Bakery,INV-58394,BANK-0344
B00182,2026-07-29,288.75,PAYMENT PRAIRIE WIND ENERGY REF INV-24996,Prairie Wind Energy,INV-24996,BANK-0345
B00952,2026-07-18,1217.06,PARTIAL PMT DELTA FREIGHT PARTNERS REF INV-69394,Delta Freight Partners,INV-69394,BANK-0346
B01065,2026-06-26,1036.1,TRANSFER FROM EMBERLINE FOODS,Emberline Foods,,BANK-0347
B00478,2026-05-18,300.18,PAYMENT FOXGLOVE DESIGN CO REF INV-25919,Foxglove Design Co,INV-25919,BANK-0348
B00514,2026-07-16,42075.38,PAYMENT YELLOWBRICK MEDIA REF INV-72957,Yellowbrick Media,INV-72957,BANK-0349
B00732,2026-05-04,2146.02,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-78592,Fenwick Office Solutions,INV-78592,BANK-0350
B00062,2026-06-25,6721.57,PAYMENT LUMEN ENERGY SERVICES REF INV-55309,Lumen Energy Services,INV-55309,BANK-0351
B00554,2026-06-07,430.44,PAYMENT TRAILMARK EQUIPMENT RENTAL REF INV-22793,Trailmark Equipment Rental,INV-22793,BANK-0352
B00998,2026-06-30,217.77,PAYMENT EVERLINE MANUFACTURING REF INV-79717 (DUP),Everline Manufacturing,INV-79717,BANK-0353
B00059,2026-05-04,207.35,PAYMENT GLACIER POINT BANK REF INV-96511,Glacier Point Bank,INV-96511,BANK-0354
B00817,2026-06-27,1292.73,WIRE RECEIVED KESTREL MARKETING GROUP REF INV-47851,Kestrel Marketing Group,INV-47851,BANK-0355
B00685,2026-06-22,325.35,PAYMENT YELLOWBRICK MEDIA REF INV-82365,Yellowbrick Media,INV-82365,BANK-0356
B00931,2026-06-28,46.96,PARTIAL PMT AURORA TEXTILES LTD REF INV-90114,Aurora Textiles Ltd,INV-90114,BANK-0357
B00513,2026-05-20,723.36,PAYMENT TRAILMARK EQUIPMENT RENTAL REF INV-17144,Trailmark Equipment Rental,INV-17144,BANK-0358
B00258,2026-06-05,22911.53,PAYMENT EVERLINE MANUFACTURING REF INV-42717,Everline Manufacturing,INV-42717,BANK-0359
B00934,2026-05-29,57.29,PARTIAL PMT GRANITE POINT CONSULTING REF INV-65864,Granite Point Consulting,INV-65864,BANK-0360
B01020,2026-05-17,49719.79,PAYMENT JUNCTION ANALYTICS REF INV-67788 (DUP),Junction Analytics,INV-67788,BANK-0361
B00347,2026-06-08,3014.83,PAYMENT ORCHARD GROVE BAKERY REF INV-12009,Orchard Grove Bakery,INV-12009,BANK-0362
B00630,2026-07-09,4082.93,PAYMENT UMBRA DIGITAL STUDIO REF INV-47070,Umbra Digital Studio,INV-47070,BANK-0363
B00821,2026-07-23,326.0,WIRE RECEIVED REDSTONE CONTRACTING REF INV-55746,Redstone Contracting,INV-55746,BANK-0364
B00552,2026-05-25,36863.1,PAYMENT COBALT FREIGHT LINES REF INV-54979,Cobalt Freight Lines,INV-54979,BANK-0365
B00564,2026-05-26,5210.11,PAYMENT COBALT FREIGHT LINES REF INV-58903,Cobalt Freight Lines,INV-58903,BANK-0366
B00025,2026-07-07,2638.77,PAYMENT IRONWOOD MATERIALS REF INV-89507,Ironwood Materials,INV-89507,BANK-0367
B00286,2026-07-27,42139.01,PAYMENT JASPER METALS CORP REF INV-90090,Jasper Metals Corp,INV-90090,BANK-0368
B00509,2026-05-10,21895.6,PAYMENT GRANITE POINT CONSULTING REF INV-81702,Granite Point Consulting,INV-81702,BANK-0369
B00841,2026-07-07,4539.82,WIRE RECEIVED BLUEPEAK LOGISTICS REF INV-50679,Bluepeak Logistics,INV-50679,BANK-0370
B00156,2026-07-24,35499.4,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-99241,Oakstone Realty Holdings,INV-99241,BANK-0371
B00671,2026-07-12,48120.73,PAYMENT KESTREL MARKETING GROUP REF INV-93574,Kestrel Marketing Group,INV-93574,BANK-0372
B00460,2026-07-10,464.1,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-95944,Zenith Industrial Supply,INV-95944,BANK-0373
B00052,2026-05-02,36755.04,PAYMENT QUORUM LEGAL ADVISORS REF INV-24663,Quorum Legal Advisors,INV-24663,BANK-0374
B00252,2026-06-24,18792.31,PAYMENT GRANITE POINT CONSULTING REF INV-31842,Granite Point Consulting,INV-31842,BANK-0375
B00995,2026-06-05,4540.7,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-17138,Oakstone Realty Holdings,INV-17138,BANK-0376
B00537,2026-05-08,445.7,PAYMENT KINGFISHER CABLE CO REF INV-42701,Kingfisher Cable Co,INV-42701,BANK-0377
B00939,2026-06-18,13209.11,PARTIAL PMT ORCHARD GROVE BAKERY REF INV-30677,Orchard Grove Bakery,INV-30677,BANK-0378
B00089,2026-05-29,2927.39,PAYMENT HOLLOW CREEK FARMS REF INV-95215,Hollow Creek Farms,INV-95215,BANK-0379
B00067,2026-07-26,1363.28,PAYMENT SOLACE HEALTH SYSTEMS REF INV-32810,Solace Health Systems,INV-32810,BANK-0380
B01054,2026-07-26,2425.83,REFUND - UNSPECIFIED,Solace Health Systems,,BANK-0381
B00342,2026-05-24,2373.46,PAYMENT KINGFISHER CABLE CO REF INV-80507,Kingfisher Cable Co,INV-80507,BANK-0382
B00496,2026-05-15,76.8,PAYMENT UMBRA DIGITAL STUDIO REF INV-78982,Umbra Digital Studio,INV-78982,BANK-0383
B00384,2026-06-18,22806.14,PAYMENT GRANITE POINT CONSULTING REF INV-53193,Granite Point Consulting,INV-53193,BANK-0384
B00354,2026-07-22,3581.81,PAYMENT MARROW FITNESS STUDIOS REF INV-74303,Marrow Fitness Studios,INV-74303,BANK-0385
B00145,2026-07-27,8078.93,PAYMENT IVY & OAK PRINT SHOP REF INV-47667,Ivy & Oak Print Shop,INV-47667,BANK-0386
B00107,2026-05-28,384.3,PAYMENT HARBOR STATE INSURANCE REF INV-73464,Harbor State Insurance,INV-73464,BANK-0387
B00424,2026-06-20,16139.96,PAYMENT PINEHILL DISTRIBUTORS REF INV-74154,Pinehill Distributors,INV-74154,BANK-0388
B00958,2026-05-10,958.53,PARTIAL PMT MERIDIAN SOFTWARE INC REF INV-67129,Meridian Software Inc,INV-67129,BANK-0389
B00653,2026-05-18,1290.97,PAYMENT IVY & OAK PRINT SHOP REF INV-80597,Ivy & Oak Print Shop,INV-80597,BANK-0390
B00717,2026-05-17,3029.62,PAYMENT IVY & OAK PRINT SHOP REF INV-17869,Ivy & Oak Print Shop,INV-17869,BANK-0391
B01064,2026-05-03,43685.25,MISC CREDIT JASPER METALS CORP,Jasper Metals Corp,,BANK-0392
B00993,2026-07-29,47261.66,PAYMENT LAKESIDE PROPERTY MGMT REF INV-37498,Lakeside Property Mgmt,INV-37498,BANK-0393
B00345,2026-05-12,855.82,PAYMENT NORTHFIELD PACKAGING REF INV-80206,Northfield Packaging,INV-80206,BANK-0394
B00428,2026-05-28,4080.55,PAYMENT WESTGATE FACILITIES MGMT REF INV-74843,Westgate Facilities Mgmt,INV-74843,BANK-0395
B00200,2026-07-08,3861.56,PAYMENT HARBOR STATE INSURANCE REF INV-40161,Harbor State Insurance,INV-40161,BANK-0396
B00365,2026-05-11,298.72,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-75517,Zenith Industrial Supply,INV-75517,BANK-0397
B00371,2026-05-11,40572.41,PAYMENT VANTERRA CHEMICALS REF INV-75639,Vanterra Chemicals,INV-75639,BANK-0398
B00473,2026-05-14,14122.07,PAYMENT FOXGLOVE DESIGN CO REF INV-30369,Foxglove Design Co,INV-30369,BANK-0399
B00933,2026-05-26,44.09,PARTIAL PMT GRANITE POINT CONSULTING REF INV-65864,Granite Point Consulting,INV-65864,BANK-0400
B00240,2026-07-18,308.77,PAYMENT JASPER METALS CORP REF INV-56244,Jasper Metals Corp,INV-56244,BANK-0401
B00668,2026-07-01,10100.24,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-72786,Oakstone Realty Holdings,INV-72786,BANK-0402
B00367,2026-06-04,4406.53,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-16102,Oakstone Realty Holdings,INV-16102,BANK-0403
B00977,2026-07-25,3414.38,PAYMENT WESTGATE FACILITIES MGMT REF INV-49955,Westgate Facilities Mgmt,INV-49955,BANK-0404
B00750,2026-06-20,365.6,PAYMENT JUNCTION ANALYTICS REF INV-94495,Junction Analytics,INV-94495,BANK-0405
B00351,2026-06-22,1941.05,PAYMENT HOLLOW CREEK FARMS REF INV-15992,Hollow Creek Farms,INV-15992,BANK-0406
